x, v
0.06182531275221953, 0.08997365516431666
0.07146345722795389, 0.09733995129934225
0.07788888687844331, 0.1061895203179708
0.0918106511211706, 0.11945552913208224
0.1549940426843176, 0.15921183200525713
0.22567376883970236, 0.17236727336109714
0.2331701034319401, 0.1693986414154326
0.4998254339272554, 0.04480997772813233
0.8050333423255079, -0.2541414814747245
0.8596494943546688, -0.23209266135263884
0.9046275019080955, -0.1775307499633847
0.9431800798110327, -0.10818617802108854
0.9517473193450187, -0.09490973831468763
0.9592436539372565, -0.0816312124298284
0.9656690835877461, -0.06687358601828208
