u, y
-0.07730061349693251, 0.050759237154040404
-0.09202453987730075, 0.0597812508675013
-0.09938650306748475, 0.06580055335017432
-0.14355828220858902, 0.09739148136838505
-0.23926380368098166, 0.16810093551342198
-0.3276073619631903, 0.2780399559540664
-0.17300613496932526, 0.4502771377545828
-0.11411042944785277, 0.4986536379535298
0.018404907975460016, 0.6135339459049312
0.15828220858895703, 0.729936429503373
0.2858895705521469, 0.8478240753592614
0.5558282208588956, 0.9493888164043345
0.6134742104067259, 0.9586659826043925
0.6830606680299933, 0.9683985977066094
0.7540672574414906, 0.9763881777520057
0.7938309475119292, 0.9843188533868795
