x, v
0.06182531275221953, 0.17711750170985185
0.06825074240270901, 0.19039811377316884
0.07574707699494687, 0.20367663965802796
0.0918106511211706, 0.22136951915991154
0.1549940426843176, 0.2744189511671512
0.22567376883970236, 0.29348244991590877
0.2320991984901919, 0.29346993284516104
0.4998254339272554, 0.04480997772813233
0.8039624373837596, -0.39593277272629
0.8585785894129206, -0.45659675610505124
0.9453218896945291, -0.23964462737042203
0.9517473193450187, -0.20125477138720516
0.9592436539372565, -0.1687750589753636
0.9656690835877461, -0.13038520299214673
