z, v
-0.9285731095294929, 0.1771720747649369
-0.9071728765994787, 0.18553504542633933
-0.8828778333254932, 0.192847228323291
-0.8557990462306235, 0.19907612486513865
-0.8356745610138723, 0.20665912935086628
-0.8162520809612537, 0.21613788495802577
-0.7898742874956981, 0.22399171103252938
-0.7690649932067306, 0.23428293140601683
-0.7517282979501385, 0.24403250860195233
-0.7378631901911028, 0.25296962103155984
-0.7198325820489271, 0.26299001981627135
-0.7024888060486041, 0.2708438458907749
-0.6858359083294097, 0.2776143856101746
-0.670586009403662, 0.2879056059836621
-0.6546371399182378, 0.2971135400020456
-0.6358822728459188, 0.29928011271225347
-0.6186809695523454, 0.2991415134370558
-0.6042840682654806, 0.2973571266505719
-0.5872764730212989, 0.29710221425250277
-0.5708772780100586, 0.28461150674711533
-0.5557739088470708, 0.26880693806682926
-0.5341428526777507, 0.256571142959511
-0.5144617240155736, 0.241021486677294
-0.5006665581703655, 0.22521691799700788
-0.48819292522550617, 0.21298112288968962
-0.48095877034305135, 0.20252971456885527
-0.4645567189926896, 0.18927426986926046
-0.45405015158970286, 0.17831303675228782
-0.43961707000729544, 0.16684197883917695
-0.43108137659834456, 0.1581749573048265
-0.41926565376453784, 0.14695881178978476
-0.40744517036552774, 0.13446810428439732
-0.3923798857241638, 0.12886003152687647
-0.38317676107375465, 0.11662423641955821
-0.37071360137234155, 0.10719247769100038
-0.35237019153220284, 0.09954510574892644
-0.33990322337862766, 0.08909369742809209
-0.31567575494760014, 0.08221106268022554
-0.3032192600374717, 0.07456369073815161
-0.2900972381119655, 0.06385737001924813
-0.27108830125644956, 0.053151049300344644
-0.2488098082195236, 0.04269964097951029
-0.23242584701693314, 0.03428753184322897
-0.21016353990169745, 0.02816963428956981
-0.20228290026467732, 0.01975752515328849
-0.1892275262520131, 0.026895072299224165
-0.17546663647626692, 0.02026734994942675
-0.15320718570015313, 0.014914189589975035
-0.13618245242124094, 0.01007085402666158
-0.11327175632535869, 0.005482430861417198
-0.0910294435839758, 0.00471769366720981
-0.060920772901181364, -0.0006354666922419594
-0.03998571136453788, -0.0016551162845184764
-0.017088344851224013, -0.0026747658767949933
0.0025508908371671968, -0.0070082766439701905
0.027431508814043992, -0.013635998993767662
0.052269281704094395, -0.008792663430454095
0.0725559542600911, -0.011341787411145388
0.09742324265439994, -0.01440073618797505
0.1170615262297503, -0.018479334557081117
0.13931050376241738, -0.02102845853777241
0.1589583084681745, -0.02765618088756977
0.18253643580551526, -0.03581337762578202
0.19695809203143555, -0.04422548676206334
0.21856820171386215, -0.0508532091118607
0.23561102514054633, -0.06053988023848772
0.2533031896609168, -0.06895198937476898
0.26967572550702035, -0.07430514973422075
0.2867099799163382, -0.08169760927822556
0.3083267543900494, -0.09010971841450677
0.3207803929610564, -0.09699235316237342
0.33389955854744024, -0.10693393668706941
0.34897436431921025, -0.11509113342528166
0.3640529785431428, -0.12426797975577031
0.3778195809971321, -0.13242517649398255
0.38962768692661487, -0.14160202282447132
0.40536516337464, -0.15205343114530556
0.41914414329815775, -0.16352448905841654
0.4361879188378823, -0.17346607258311264
0.44734763578671743, -0.18417239330201607
0.4591671670726869, -0.19640818840933438
0.473581206394283, -0.20278099836106256
0.483427007347095, -0.21195784469155132
0.49654331659435713, -0.2211346910220401
0.5070422670930184, -0.23005662495445967
0.5195092352465938, -0.24050803327529402
0.5306756169867135, -0.2529987407806813
0.5444422194407033, -0.26115593751889354
0.5582088218946939, -0.2693131342571057
0.5713317959332402, -0.2802743673740784
0.5909662710564281, -0.28333331615090795
0.617136050090273, -0.28486279053932273
0.6387052189119544, -0.2805292797721475
0.6582958968352755, -0.2718622582377971
0.677886574758596, -0.2631952367034466
0.6941953190309793, -0.2514692663922665
0.7144277211436625, -0.2394883836830175
0.7359911772871002, -0.23362539852742747
0.7555723340800153, -0.2224092530123858
0.7718763177871952, -0.20940872071086003
0.7901806909926699, -0.20660468433209966
0.8071578186195525, -0.1987023999919565
0.8339512316949882, -0.19207467764215913
0.856820034817084, -0.18544695529236177
0.8770686228514577, -0.17779958335028778
0.8973305404683993, -0.17372098498118171
0.9188844754814307, -0.1653088758449004
0.945025691124058, -0.1591909782912413
