z, u
-0.9219504415719348, 1.243196959049823
-0.9010607657988019, 1.243196959049823
-0.8722131183025708, 1.2458881035052904
-0.8403812314101777, 1.2503733442644027
-0.8085493445177849, 1.2521674405680476
-0.780696443486941, 1.25665268132716
-0.7508540495253226, 1.2557556331753374
-0.7190221626329296, 1.254858585023515
-0.6981324868597967, 1.2414028627461782
-0.6802270504828258, 1.223461899709729
-0.663426887956285, 1.1957281610158847
-0.6503017609824251, 1.1670724561660006
-0.638558226321603, 1.1377938012106843
-0.6288870801303379, 1.099170894673884
-0.6157619531564777, 1.0524496367664644
-0.6040184184956559, 1.003859528542748
-0.5929656799913527, 0.9558923704244637
-0.5805313491740118, 0.8998268609355602
-0.5687878145131897, 0.8381548004977663
-0.553590299069773, 0.7783515903762691
-0.5411559682524318, 0.7278926318362559
-0.5301032297481287, 0.6743189227690812
-0.5211228797133824, 0.6232370141236357
-0.5059253642699657, 0.5771387063216484
-0.4969450142352194, 0.5341551490468224
-0.4845106834178785, 0.49553224251002215
-0.4748395372266132, 0.46189293681668
-0.4651683910353481, 0.4220241300690153
-0.44997087559193116, 0.3958602256408601
-0.43960893324414707, 0.3615979698420857
-0.42717460242680594, 0.3348111153084985
-0.414049475452946, 0.3067783605640466
-0.39885196000952927, 0.2893357576119433
-0.38710842534870715, 0.25756530223489804
-0.37674648300092306, 0.23513909843933645
-0.3643121521835819, 0.21022109422204616
-0.35256861752276003, 0.1909096409536457
-0.3408250828619379, 0.16972933736894902
-0.33115393667067283, 0.1448113331516585
-0.3180288096968127, 0.12238512935609691
-0.3062852750359908, 0.10182777587683245
-0.2931601480621311, 0.07690977165954194
-0.28210740955782776, 0.052614717547683654
-0.2731270595230815, 0.02707376322496091
-0.26069272870574056, 0.005270509534831769
-0.24825839788839943, -0.019024544577026514
-0.23720565938409655, -0.044565498899749256
-0.2226989400971986, -0.0663687525898784
-0.21095540543637648, -0.09190970691260114
-0.19713948230599776, -0.1155818109190272
-0.19092231689732708, -0.13925391492545303
-0.17710639376694814, -0.16105716861558217
-0.16743524757568307, -0.17787682146225325
-0.15569171291486095, -0.19718827473065348
-0.14463897441055784, -0.21774562820991816
-0.12875066281062209, -0.241417732216344
-0.11769792430631898, -0.2582373850630151
-0.10526359348897807, -0.2731881875933895
-0.09628324345423178, -0.28564718970203473
-0.07625015491518239, -0.3068274932867314
-0.05276308559353837, -0.3192864953953769
-0.03549318168056481, -0.33174549750402194
-0.014078500828477392, -0.34108974908550604
0.011480956962723665, -0.3442044996126672
0.04118519169303814, -0.3342372979257513
0.05914589176253093, -0.3230241960279705
0.0791789803015801, -0.2999750421269767
0.09990286499714873, -0.2800406387531442
0.11648197275360284, -0.25636853474671817
0.1316794881970198, -0.23145053052942788
0.15240337289258798, -0.2071554764175696
0.1731272575881566, -0.16853256988076937
0.19799591922283843, -0.12804081302767223
0.21526582313581244, -0.09377855722889783
0.2235553770140397, -0.06761465280074286
0.23944368861397525, -0.045188449005181486
0.26293075793561904, 0.0015328089022381697
0.2726019041268848, 0.02707376322496091
0.28227305031814964, 0.05448356786398034
0.2967797696050476, 0.07690977165954194
0.30714171195283146, 0.10182777587683245
0.3175036543006158, 0.12487692977782605
0.33201037358751373, 0.1504178841005488
0.34444470440485464, 0.17595883842327176
0.35480664675263895, 0.195893241797104
0.36655018141346085, 0.2170735453818009
0.37898451223080176, 0.24074564938822696
0.39072804689162366, 0.26130300286749164
0.4052347661785216, 0.29058165782280776
0.4135243200567489, 0.31363081172380136
0.4252678547175712, 0.34166356646825324
0.43908377784795016, 0.36408977026381484
0.448754924039215, 0.3933684252191312
0.4625708471695944, 0.42576183070160867
0.4736235856738973, 0.4587781862895186
0.4853671203347192, 0.4949092924045897
0.4964198588390225, 0.5341551490468224
0.510235781969401, 0.5758928061107839
0.5205977243171853, 0.6238599642290682
0.5302688705084506, 0.6730730225582168
0.5468479782649056, 0.726023781519959
0.5579007167692085, 0.7783515903762691
0.5675718629604738, 0.8362859501814695
0.5800061937778147, 0.8929744097758053
0.590368136125599, 0.9496628693701412
0.6021116707864209, 0.9976300274884254
0.6152367977602804, 1.0524496367664644
0.6255987401080647, 1.0935643437249938
0.637342274768887, 1.1259577492074713
0.649085809429709, 1.1614659052171104
0.6615201402470499, 1.1876298096452653
0.6711912864383152, 1.2113019136516914
0.6829348210991375, 1.2281215664983622
0.7098758712033764, 1.2405805686070075
0.7326721443685011, 1.2530395707156528
0.7568500098466644, 1.2592690717699755
0.7837910599509033, 1.2542854709265172
0.8204032562464074, 1.2524166206102205
0.8507982871332409, 1.2493018700830594
0.883265706489631, 1.248678919977627
0.9108975527503889, 1.2430723690287366
0.9330030297589951, 1.2412035187124397
0.9516545259850067, 1.239334668396143
