theta, cp
0, 1.057098765432099
2.422360248447198, 1.0462962962962965
5.031055900621112, 1.0246913580246915
7.4534161490683175, 1.0030864197530867
9.130434782608688, 0.9760802469135804
10.993788819875775, 0.9436728395061731
12.670807453416138, 0.9004629629629631
14.534161490683225, 0.8626543209876545
16.397515527950304, 0.8086419753086421
19.006211180124218, 0.733024691358025
21.428571428571423, 0.6574074074074077
24.03726708074533, 0.5655864197530867
26.459627329192543, 0.46836419753086433
28.695652173913047, 0.3819444444444444
30.55900621118012, 0.30092592592592604
32.60869565217391, 0.20910493827160503
34.658385093167695, 0.12268518518518534
36.52173913043478, 0.03626543209876543
38.385093167701854, -0.050154320987654266
40.06211180124224, -0.12577160493827155
41.739130434782595, -0.19598765432098753
43.60248447204968, -0.28240740740740744
45.46583850931677, -0.36342592592592604
47.14285714285714, -0.4390432098765431
48.819875776397495, -0.5092592592592591
50.68322981366458, -0.5902777777777777
52.54658385093167, -0.6658950617283952
54.40993788819874, -0.7415123456790123
56.45962732919253, -0.8117283950617282
58.69565217391305, -0.8927469135802468
60.931677018633536, -0.9575617283950622
63.167701863354026, -1.0223765432098766
65.40372670807452, -1.0817901234567904
68.01242236024844, -1.1358024691358022
70.80745341614906, -1.1844135802469138
73.22981366459626, -1.2168209876543208
76.02484472049689, -1.2438271604938271
78.6335403726708, -1.2600308641975313
81.42857142857142, -1.2708333333333335
84.40993788819875, -1.2654320987654324
86.83229813664595, -1.2546296296296293
89.81366459627328, -1.238425925925926
92.98136645962731, -1.2114197530864197
95.77639751552795, -1.1844135802469138
99.13043478260869, -1.1466049382716048
102.67080745341613, -1.1087962962962963
106.02484472049687, -1.0709876543209877
109.37888198757761, -1.0385802469135803
112.36024844720498, -1.0061728395061729
115.34161490683229, -0.984567901234568
118.13664596273293, -0.9629629629629632
120.74534161490683, -0.9467592592592591
123.91304347826087, -0.9305555555555554
127.08074534161489, -0.9143518518518516
130.24844720496893, -0.8981481481481484
133.60248447204967, -0.8873456790123457
136.7701863354037, -0.8765432098765435
140.49689440993788, -0.871141975308642
144.40993788819875, -0.8657407407407409
147.9503105590062, -0.8657407407407409
151.67701863354037, -0.8657407407407409
155.40372670807454, -0.8657407407407409
159.31677018633536, -0.8657407407407409
162.67080745341613, -0.8657407407407409
166.7701863354037, -0.8657407407407409
171.61490683229812, -0.8657407407407409
175.9006211180124, -0.8657407407407409
179.81366459627327, -0.871141975308642
