p, theta
0.0000028142583616100504, 1.7950432515381183
0.000006793903900962889, 6.8105093132234025
0.000010527184102251852, 6.98747744055613
0.000015084609172837126, 10.274225177096044
0.00001965505414511312, 14.822461068513554
0.00002459254168188227, 17.989655679012024
0.00002909205007549534, 21.418233656616
0.00003374289470204077, 25.16110717808591
0.000038110859354316114, 29.09196473272403
0.00004242433506669813, 32.367072307162296
0.00004636380906295749, 36.15581997849426
0.00005044112026768334, 39.70912922019068
0.00005400392391614321, 43.38599135606696
0.000057769731403607325, 46.920742790632524
0.00006095593930258729, 50.53777860464668
0.0000642736499204197, 54.23892807738174
0.00006719272377672084, 57.68375111368399
0.00006999579814454026, 61.3274120454776
0.00007223290727649014, 64.77214142645475
0.0000745409292783792, 68.32885883096137
0.00007645991899933374, 72.04360860166982
0.00007817692693882389, 75.64091104010099
0.0000799161444225152, 79.20162627761303
0.00008100125155568696, 82.67400490963416
0.00008188081939799264, 86.34272310683716
0.00008262464012314175, 89.917600212823
0.00008298971796584116, 93.44238614724351
0.00008297523632112746, 96.9796359892476
0.00008259269643561161, 100.591193614232
0.00008197921471629726, 103.98605653182464
0.00008099371900737327, 107.56579029561243
0.00008011488629776787, 111.27872586871506
0.0000781395151067807, 114.79853303616444
0.00007636362573647007, 118.33326162257421
0.00007425350166905625, 121.90656132064899
0.00007166815989554229, 125.43602805301055
0.00006875778276879232, 128.88586814378658
0.00006546341602252412, 132.60067770265053
0.00006213080710263472, 136.09368008232445
0.00005822487814982091, 139.87361897567
0.00005413819292816162, 143.2015579222572
0.00004955515780434078, 146.84354443104272
0.00004512264032735004, 150.80710158899197
0.00004010148918404507, 154.31410992874632
0.00003522949739748103, 157.96417026238657
0.00003002815245791283, 161.51822123174802
0.000024939264686175185, 164.8542251176716
0.00001956572123048094, 168.96727646187202
0.000014233276562675455, 172.3251593676477
0.000009732716740897821, 175.58015208857177
0.0000066922787336827375, 179.5164734821362
0.000008553001787308871, 182.81044178327278
0.000012527433968686348, 185.18107861308215
0.000017362345196678927, 189.97703419955786
0.000022819939234144404, 193.55043439691846
0.00002808293854258051, 197.3593143591806
0.00003315644152832468, 200.98143637590644
0.00003830205068299262, 204.40736207288248
0.0000432554254997782, 208.25251908751753
0.00004796689707266333, 211.5814819041822
0.00005212246791568493, 215.44428298509908
0.000056443102744211855, 219.05395217796553
0.000060269567016010806, 222.72884697788774
0.00006415214635683743, 226.10113056135404
0.00006747546643114745, 229.82097619832516
0.00007059221509477373, 233.3657581166299
0.00007357345907286656, 237.05049701914515
0.0000756855951232335, 240.54394489232192
0.00007765049236454881, 244.06669680658433
0.00007928756745035304, 247.58268552850663
0.00008083973262933719, 251.20035635147855
0.000081746551446484, 254.65106911053192
0.00008261941580554798, 258.2945768325407
0.00008286830020436935, 261.9134980501353
0.00008298304937415625, 265.4703967755327
0.0000827210876145505, 268.99401801612026
0.00008231013931324829, 272.53983821341706
0.00008152555722441943, 276.15798308099477
0.00008053785914452407, 279.5616437085457
0.00007916335742739309, 283.14939454068025
0.00007737716095233772, 286.8323160319791
0.00007554624636811213, 290.4049093135832
0.00007362352648269338, 293.8833425114039
0.00007105013515094318, 297.29382902850045
0.00006823004088051523, 300.97894007787863
0.00006545213584679355, 304.6306953042492
0.00006235073772584172, 308.22034156016304
0.000059209728921147835, 311.83538828137955
0.00005567106091493159, 315.17062397103234
0.00005186676374397687, 319.16143327527794
0.0000478909331961452, 322.65253580639984
0.00004386740516767424, 326.17174597726387
0.00003995716467954145, 329.9295796526495
0.00003563061556859045, 333.1592247244193
0.000031021819400436364, 336.9332374152056
0.000026304460108378315, 340.7195834087403
0.00002170732981286401, 344.1948388858041
0.00001709755391055823, 347.8363977914416
0.000012205807339641221, 351.7256975622686
0.000007700687633319904, 355.4964903935945
0.0000051309412487908975, 358.39874546565
