theta, cp
0.07979136987697899, 0.9979792978573939
2.225471392899216, 0.9980758196757935
4.134672960842536, 0.9860159546990929
5.8054656373389335, 0.9739453650759032
7.4775452714139945, 0.9537776673536394
9.3886772757253, 0.9295721402283275
10.82299149714278, 0.9053451638100375
12.257305718560254, 0.8811181873917477
13.692906897556398, 0.8487941028743836
15.12850807655252, 0.8164700183570196
16.32570036410175, 0.7841352091931666
17.761945021887215, 0.7477625706262654
19.678224856513182, 0.6911686111046561
21.11575647187729, 0.6466988644386806
22.55393156603077, 0.5981805637231679
23.99081970260555, 0.5577593711067295
25.19058590531209, 0.509230345744728
26.62811752067624, 0.46476059907875245
27.82724024459344, 0.4202801277662882
28.787954077063745, 0.37578893180733486
29.9857898434023, 0.339405568593945
31.18555604610883, 0.29087654323194334
32.38596572760471, 0.23829896382040472
33.58508845152191, 0.19381849250794025
35.02519398204336, 0.13315452964381636
36.465942991354154, 0.06844201273015504
38.145100892111856, 0.003740220462982835
39.10710168216082, -0.04884808359504467
40.304937448499345, -0.08523144680843475
41.50599060878456, -0.14185758026951056
43.18514850954227, -0.206559372536683
44.62589751885304, -0.2712718894503443
46.306342377189395, -0.3440707898165909
47.986143756736425, -0.4128211361333003
49.66658861507278, -0.4856200364995469
50.62730244754307, -0.5301112324585002
52.066121020485866, -0.5826780872235502
53.50493959342866, -0.6352449419886002
54.94375816637144, -0.6878117967536497
56.382576739314246, -0.7403786515186996
58.53919590175509, -0.8091075485424315
60.69581506419594, -0.8778364455661634
62.851147269058146, -0.9384682344908208
64.76614014610543, -0.9869650859133552
66.6804895443634, -1.0314133832863535
69.07230020430451, -1.0798887854159105
71.22377153643072, -1.1162292500433457
73.37395591097828, -1.1444726065717061
75.76190569818343, -1.1686566844040405
78.38697741925682, -1.1847329294908118
81.01076218275153, -1.1927120664785087
83.39485109722071, -1.19260482001362
86.01670542434744, -1.188438294852706
88.6366293151062, -1.1721261075431801
90.78037890176043, -1.1598839235761695
93.16189390107229, -1.1435824609131324
95.30435653014786, -1.123243168847047
97.68458457188106, -1.098844598084936
100.30322150506112, -1.0744353026763354
102.68344954679432, -1.0500367319142243
105.0636775885275, -1.0256381611521133
107.92007993436516, -0.997169587047487
110.30095145488767, -0.976819570334913
112.91958838806775, -0.9524102749263128
115.06205101714335, -0.9320709828602278
117.44356601645518, -0.9157695201971907
120.3012553198715, -0.8953980541916389
122.92117921063027, -0.8790858668821127
125.54174658017834, -0.8668222336221243
128.400079362384, -0.8504993216661099
131.02129021072142, -0.842284242455658
133.88090995050572, -0.8340584385987175
136.978938581737, -0.8258219100952884
139.8385583215213, -0.8175961062383483
143.41404821443575, -0.8133866824914784
145.9569870178154, -0.8127099870887178
148.9366513006315, -0.8097644331398728
152.08232417388942, -0.8096229273875895
154.56575012646147, -0.8095112123199977
157.54586126954788, -0.809377154238887
160.36041068246286, -0.8092505438289495
163.00939836520635, -0.8091313810901846
165.65883290822026, -0.811823714219154
168.30782059096376, -0.8117045514803891
170.9568082737073, -0.8115853887416242
173.77135768662225, -0.8114587783316862
176.42034536936578, -0.8113396155929213
179.23489478228075, -0.8112130051829838
