spl, theta
101.36752136752136, 0
107.35256401910374, 0.7161599454703952
110.08984039741793, 0.9765380357615585
120.01314708334597, 1.4688007143858157
131.82307206690194, 1.8902637151598647
134.6479444963842, 3.7663879709667745
132.21823533118555, 5.6359406982934415
115.58061247264726, 12.767663144682864
114.49816599168895, 14.93141717813754
114.28533163362364, 16.80869162620685
114.37980403610044, 18.254774009553795
114.95298074179802, 20.91680380334273
115.96249700364378, 24.12840293026786
116.694448861535, 26.56505117707799
117.34054906630342, 29.029127987144218
117.81836393528243, 31.319074640680626
118.35502821087357, 33.54842188249797
118.90982811875598, 36.06438615741825
119.29728268376465, 38.46519018629743
119.84813013245366, 41.34777721969367
120.37446170913348, 44.31385580216476
120.89008945440396, 47.37184218978922
121.25647311503306, 50.042451069170916
121.6761111365053, 53.50611519722278
122.0057428353445, 56.11592944733159
122.24436251233226, 59.07600458542509
122.52426653348273, 61.68364505672778
122.65839279847205, 63.84566422168708
122.96077136641178, 66.80140948635182
123.17584625749836, 69.12535317355
123.35953960689007, 72.56512530520071
123.49444921228377, 75.19912994167804
123.64969900520438, 78.25001642822332
123.73296397699525, 81.45816060211224
123.95257074868567, 84.64417495714481
123.95290315735991, 88.21704952042636
124.12376089037971, 91.77604425335873
124.12276751842839, 95.33510574065575
124.09660067016546, 98.69550287742479
124.12773415456425, 102.52880770915152
124.04952750818342, 105.76214776397255
124.05649220123033, 108.78645226279536
123.90534316513639, 112.67134362198088
123.72995716136472, 115.96406853823007
123.61654949194029, 119.07641444424107
123.3965889736277, 122.12499844038754
123.20223260816897, 125.01059257376332
122.98355095514862, 128.05484424467454
122.77502403254418, 130.94898908224334
122.44035145887298, 133.5311992856142
122.19314546050421, 136.1490449473262
121.81051216627353, 139.1446237411043
121.30425337743061, 142.22900131551944
120.9350852434233, 144.51794916094877
120.44640955843245, 147.25022426667314
119.63195423307842, 151.1134182330893
118.84105257376042, 154.44992534758651
117.93562567721733, 157.47943439710312
116.81251252275511, 161.31264849478885
115.71381609534389, 164.1676133795778
114.37597912325262, 167.06944853305725
113.1932185574104, 169.61597931237986
111.74198339923976, 172.2626272267937
110.03930023768555, 174.77605240373163
108.41774305585567, 176.89664067825666
106.84631575174922, 178.54055064500773
105.47008547008548, 180
107.19883201266896, 182.16107948822636
109.31511796714152, 184.34745690755966
110.99819840697276, 186.96825674137855
112.76749635383456, 189.6097381250528
113.89489712962931, 191.9333040925501
115.15928086646292, 194.6443126371557
116.11978351331881, 197.06285717346137
117.37340137189099, 200.3413404126924
118.34016937778583, 203.9365515478696
119.37750707457974, 207.67745079337578
120.10432738525535, 211.04752223191505
120.67801438985013, 213.69006752597977
121.1979997627879, 216.39442491339614
121.54233037450717, 219.32258333795468
121.98208468252031, 222.52477818813546
122.42795649614986, 225.48969559312923
122.6028725362279, 227.92734799174087
122.90189649215993, 230.9836575830181
123.1463962909252, 233.5387024127112
123.38042586844918, 236.24731416068542
123.5639273307909, 238.80490241212436
123.75166840895857, 241.53246683398575
123.80506563508416, 243.834912863656
123.94858164848699, 246.6258356349518
124.01767487791996, 250.01689347810003
124.17571618221768, 252.89727103094762
124.15487522418405, 256.3403430871461
124.21935110063544, 259.08101067464554
124.16777792919703, 262.2148598567038
124.24841714073942, 265.34664841273155
124.11084531010263, 268.8897556567794
124.1356796098676, 272.2196555531979
123.96885581838843, 275.57760510665753
123.7850493064878, 278.98425555314003
123.68483009191236, 281.9694863730682
123.65973934308556, 284.7435628364707
123.52265660332996, 287.3674491391818
123.17584625749836, 290.87464682645003
122.9226650580845, 294.21734114528607
122.7381195473584, 297.3849705812138
122.39109451808001, 300.80526238720915
122.10163061868779, 303.2384209613218
121.75036520049909, 305.8376529542783
121.48637302488822, 308.47545953530175
121.19906365538901, 310.9622893790229
120.74870920020587, 313.47020927571367
120.27264811244413, 316.89196541835946
119.68058603249506, 320.0680181266051
119.07693803231574, 323.1802298824975
118.4497607798167, 326.23928419969764
117.6149952302259, 329.70607786994253
116.69643960879601, 332.83813937169276
115.82410091604713, 336.3706222693432
114.73241796395564, 339.24592868120055
114.32664209918494, 342.0161897238653
114.58783329008666, 344.5213618345816
115.49139510227504, 346.6330693036831
118.18399384850301, 348.6397639572427
121.2543482634158, 350.45961819515736
132.23529988587774, 354.1774647460358
134.6479444963842, 356.2336120290332
131.82307206690194, 358.10973628484015
120.01314708334597, 358.5311992856142
109.91892519603059, 359.0178828367758
101.88100960519608, 359.55238582913944
