p, degree
0.0000027676675482276352, 2.394784072415418
0.000006000871711459103, 3.262118826216078
0.0000109014508697938, 6.4946693444239125
0.000016191902408718532, 10.800684765555133
0.000021416441944318634, 14.343182301680686
0.000026607097699748358, 17.590907686401483
0.000031535916125444835, 21.753444257358275
0.00003638022380064571, 24.94895694260549
0.000041136890428071575, 28.956450374474578
0.00004566601272126634, 32.43557817587484
0.000050228329076028574, 36.00955246021197
0.00005424147958155375, 39.589729058339266
0.00005808979779636482, 43.29342967580787
0.00006183635438956412, 46.8362610041432
0.00006502663829284734, 50.45292770216359
0.00006818169773301999, 54.03170362170515
0.00007101459529112174, 57.649926468180134
0.00007337314218845034, 61.27463831243752
0.00007570224372685958, 64.74484629659733
0.00007760879070016183, 68.34033554099958
0.00007951727977271992, 71.85660172475593
0.00008070430420684552, 75.34410039337347
0.00008164168013836158, 78.97034218964065
0.00008264205609274906, 82.6372498923701
0.00008284173597855105, 85.99153306525803
0.00008309031807606881, 89.63144730198692
0.00008297167212468966, 93.10369171090709
0.00008250018260356602, 96.7843440827272
0.00008161272209951617, 100.26268243758268
0.00008036311050813121, 103.91919937103869
0.000079095193957548, 107.40884490751738
0.00007710678484225907, 110.92238612795427
0.00007533029587001696, 114.4475242738947
0.00007302797726835815, 118.06289122753968
0.00007047884073310306, 121.5196702678118
0.00006756541902551125, 125.12471535516231
0.00006447709600189804, 128.84624011069482
0.00006106754171639057, 132.29158726985892
0.00005757607239649141, 135.80912008332731
0.000053656257035311576, 139.47126210875092
0.00004943770774545665, 143.21320788717605
0.00004514219156146109, 146.66974687997148
0.00004076038299086967, 150.23288195170522
0.000036054850141928206, 153.82833072491877
0.000031408154625160896, 157.9209001661802
0.000026604763797102447, 161.08802794471129
0.0000217565149141675, 164.86968758348436
0.00001673412877269698, 168.19990831428535
0.000012101908053779391, 172.23676062238331
0.0000078550497471277, 176.08459154193963
0.000005300174251606952, 180.98557802635912
0.000010209417164906423, 186.65835462016983
0.00001500863402978118, 190.58952642647048
0.000019728625823105918, 194.07769636291826
0.000024627851080789756, 197.25290522058893
0.000029466402176429633, 201.33654652714677
0.00003430105229036946, 204.77918410721026
0.00003883468388891709, 208.43207561474705
0.000043223185425912644, 211.8928667800631
0.000047629320312720074, 215.4766981475209
0.00005179700922910998, 219.11750996216708
0.000055634195288280735, 222.68373193058608
0.00005934033914142977, 226.09944033304177
0.00006280963558131489, 229.87269902224818
0.00006624982709284408, 233.55771050311552
0.00006917578385269068, 237.13734082711687
0.00007172364887998099, 240.55376025658998
0.00007420648892277534, 244.20129005173237
0.0000763710701303792, 247.7874027466591
0.00007823550756303754, 251.37301628259948
0.00007966660022741201, 254.8087102517465
0.00008083022302324525, 258.3623081633583
0.0000817763398561775, 262.07368491090324
0.00008238887382432615, 265.4909700343547
0.00008259202944271057, 269.1530309820462
0.00008266212203960537, 272.6391331698811
0.00008235218526487694, 276.1564497091298
0.00008190248840250057, 279.7399281722407
0.00008082872513366497, 283.3391301675964
0.00007979711083673586, 286.9102487680731
0.00007827706702042077, 290.4215045217236
0.00007633930370569032, 294.10842630584284
0.00007431762424371018, 297.7397554667478
0.00007205741541461203, 301.1861943603007
0.00006943548566339921, 304.7445583275037
0.00006631403728936802, 308.3455028288964
0.00006302030895018128, 311.8203117418706
0.00005965770100170109, 315.3516704580643
0.00005570427915098601, 318.8477798034198
0.000051808639969228404, 322.70116741598383
0.00004754464455118028, 326.3230163110458
0.00004314138345633077, 329.65695398586917
0.00003850692981346466, 333.4186271743736
0.000033623891355761106, 337.0167196092732
0.000028711223504555663, 340.22080564142226
0.00002348308328853055, 344.39882188601473
0.000018172823145532843, 347.83345367196165
0.000012847110384380158, 350.8983505201404
0.000007640524508384508, 354.70890946156374
0.0000039178987201102776, 358.95841119160195
