X,Y,Z
0.441673,0.255,-5.66214e-17
0.450303,0.23943,-5.31641e-17
0.458385,0.223569,-4.96423e-17
0.465908,0.207436,-4.606e-17
0.472864,0.191049,-4.24214e-17
0.479243,0.17443,-3.87312e-17
0.485039,0.157599,-3.4994e-17
0.490243,0.140575,-3.12139e-17
0.494851,0.12338,-2.73959e-17
0.498855,0.106035,-2.35445e-17
0.502252,0.088561,-1.96645e-17
0.505037,0.070978,-1.57603e-17
0.507206,0.05331,-1.18372e-17
0.508758,0.035576,-7.89946e-18
0.509689,0.017799,-3.95217e-18
