Points_0,Points_1,Points_2,ux
0.5,0,0.5,-0.000949738
0.5,0.008,0.5,-0.00275851
0.5,0.016,0.5,-0.00440013
0.5,0.024,0.5,-0.00587197
0.5,0.032,0.5,-0.00717588
0.5,0.04,0.5,-0.00831864
0.5,0.048,0.5,-0.00931195
0.5,0.056,0.5,-0.0101702
0.5,0.064,0.5,-0.0109081
0.5,0.072,0.5,-0.0115392
0.5,0.08,0.5,-0.0120737
0.5,0.088,0.5,-0.0125182
0.5,0.096,0.5,-0.0128766
0.5,0.104,0.5,-0.0131503
0.5,0.112,0.5,-0.01334
0.5,0.12,0.5,-0.0134462
0.5,0.128,0.5,-0.0134693
0.5,0.136,0.5,-0.0134117
0.5,0.144,0.5,-0.0132769
0.5,0.152,0.5,-0.0130694
0.5,0.16,0.5,-0.0127953
0.5,0.168,0.5,-0.0124619
0.5,0.176,0.5,-0.0120765
0.5,0.184,0.5,-0.0116476
0.5,0.192,0.5,-0.0111839
0.5,0.2,0.5,-0.0106931
0.5,0.208,0.5,-0.0101836
0.5,0.216,0.5,-0.00966273
0.5,0.224,0.5,-0.00913711
0.5,0.232,0.5,-0.00861313
0.5,0.24,0.5,-0.00809537
0.5,0.248,0.5,-0.00758815
0.5,0.256,0.5,-0.00709535
0.5,0.264,0.5,-0.00661925
0.5,0.272,0.5,-0.00616172
0.5,0.28,0.5,-0.00572452
0.5,0.288,0.5,-0.00530837
0.5,0.296,0.5,-0.00491286
0.5,0.304,0.5,-0.00453856
0.5,0.312,0.5,-0.00418484
0.5,0.32,0.5,-0.00385137
0.5,0.328,0.5,-0.00353713
0.5,0.336,0.5,-0.00296296
0.5,0.344,0.5,-0.00270111
0.5,0.352,0.5,-0.0024545
0.5,0.36,0.5,-0.00222196
0.5,0.368,0.5,-0.00200298
0.5,0.376,0.5,-0.00179632
0.5,0.384,0.5,-0.00160093
0.5,0.392,0.5,-0.00141568
0.5,0.4,0.5,-0.00123998
0.5,0.408,0.5,-0.00107283
0.5,0.416,0.5,-0.000913974
0.5,0.424,0.5,-0.000762179
0.5,0.432,0.5,-0.000616946
0.5,0.44,0.5,-0.000477246
0.5,0.448,0.5,-0.000343024
0.5,0.456,0.5,-0.00021388
0.5,0.464,0.5,-8.9064e-05
0.5,0.472,0.5,3.21961e-05
0.5,0.48,0.5,0.000150066
0.5,0.488,0.5,0.00026456
0.5,0.496,0.5,0.00037657
0.5,0.504,0.5,0.000486052
0.5,0.512,0.5,0.000593747
0.5,0.52,0.5,0.000699673
0.5,0.528,0.5,0.000804188
0.5,0.536,0.5,0.000907408
0.5,0.544,0.5,0.00100936
0.5,0.552,0.5,0.00111052
0.5,0.56,0.5,0.00121112
0.5,0.568,0.5,0.00131146
0.5,0.576,0.5,0.00141134
0.5,0.584,0.5,0.00151124
0.5,0.592,0.5,0.00161105
0.5,0.6,0.5,0.00171136
0.5,0.608,0.5,0.00181157
0.5,0.616,0.5,0.00191209
0.5,0.624,0.5,0.0020136
0.5,0.632,0.5,0.00211591
0.5,0.64,0.5,0.00221902
0.5,0.648,0.5,0.00232263
0.5,0.656,0.5,0.00242746
0.5,0.664,0.5,0.0025336
0.5,0.672,0.5,0.00275006
0.5,0.68,0.5,0.00286055
0.5,0.688,0.5,0.00297248
0.5,0.696,0.5,0.00308632
0.5,0.704,0.5,0.00320215
0.5,0.712,0.5,0.0033201
0.5,0.72,0.5,0.00344013
0.5,0.728,0.5,0.00356251
0.5,0.736,0.5,0.00368778
0.5,0.744,0.5,0.00381584
0.5,0.752,0.5,0.00394692
0.5,0.76,0.5,0.00408109
0.5,0.768,0.5,0.00421878
0.5,0.776,0.5,0.00436053
0.5,0.784,0.5,0.00450622
0.5,0.792,0.5,0.00465611
0.5,0.8,0.5,0.00481074
0.5,0.808,0.5,0.00497057
0.5,0.816,0.5,0.00513624
0.5,0.824,0.5,0.00530784
0.5,0.832,0.5,0.0054865
0.5,0.84,0.5,0.00567283
0.5,0.848,0.5,0.00586896
0.5,0.856,0.5,0.00607636
0.5,0.864,0.5,0.00629763
0.5,0.872,0.5,0.00653806
0.5,0.88,0.5,0.0068044
0.5,0.888,0.5,0.00710655
0.5,0.896,0.5,0.0074605
0.5,0.904,0.5,0.00788956
0.5,0.912,0.5,0.00842839
0.5,0.92,0.5,0.00912571
0.5,0.928,0.5,0.0100487
0.5,0.936,0.5,0.0112884
0.5,0.944,0.5,0.0129599
0.5,0.952,0.5,0.0152006
0.5,0.96,0.5,0.0181615
0.5,0.968,0.5,0.0219851
0.5,0.976,0.5,0.0267718
0.5,0.984,0.5,0.0325329
0.5,0.992,0.5,0.0391447
0.5,1,0.5,0.0463217
