u, y
-0.03552601681436052, 0.05229043053083693
-0.048307202908429936, 0.06710488977721007
-0.0639286525789593, 0.0984982631124216
-0.0980118154964782, 0.17000821748656447
-0.153396955237446, 0.27988368542320186
-0.21304249034310385, 0.45172391575615434
-0.2059418314019541, 0.49887154143289103
-0.13777550556691665, 0.6150899433935041
0.0028175414678481836, 0.7314448964876008
0.22861849579640992, 0.8497062105040574
0.685900931606453, 0.9535653961477973
0.7370256759827314, 0.9615174915683158
0.7867302885707794, 0.9712126220456548
0.8392751647352874, 0.9774216824093525
