x, v
-0.0008649363787394115, -0.005249402674936787
0.0050099998177870475, 0.013872956760792698
0.01130529509438083, 0.049413192563207864
0.02387282067746921, 0.11502034676337358
0.04346939589844867, 0.18195431336852586
0.06736326336113385, 0.2269690622636562
0.09640350227731997, 0.24321775707466065
0.13063624258720696, 0.2416470326108695
0.16652677762301193, 0.21680432994070697
0.20591165562892533, 0.18783588074395607
0.25141307539316005, 0.15198945746346693
0.2960596497030732, 0.12162154120591506
0.3477410398934031, 0.09394876670451624
0.3976954404475159, 0.07312801819549375
0.4485277514260497, 0.052302080068198475
0.5011158832534248, 0.03146576270435841
0.5537155475658502, 0.013366104042850768
0.6054142364837549, -0.01020168240504904
0.6553686370378675, -0.031022430914071863
0.7044220621974593, -0.05731130720948707
0.749935014446744, -0.09042107178764347
0.7918325326328968, -0.14814000621370305
0.8335685960283508, -0.24417216247241735
0.8699045732992068, -0.3716447560983207
0.9029595585733765, -0.44436341720448436
0.9321208885825865, -0.3993798060189886
0.9563607305967672, -0.2722652960538836
0.9753100450943233, -0.15059296578380899
0.988859273467281, -0.06036107288092318
0.997834429957337, -0.013889771123995365
1.0022701120196404, -0.0029690844060275
