u, y
0.0008865449321389107, 0.002100779113580975
-0.05963766685289473, 0.011114651024885847
-0.12009186798230675, 0.02513866047912483
-0.1865757368271449, 0.04169235182594777
-0.24485085630032877, 0.0669809663780826
-0.27478916291059474, 0.09465978846980483
-0.28644593707162214, 0.1285274431268436
-0.25763655228325744, 0.164736079081236
-0.2085765853562911, 0.20336774007003844
-0.14529570400614966, 0.24695210798583533
-0.09816978144073518, 0.291854645277011
-0.05531013320227307, 0.34491643221848345
-0.02936972673907612, 0.3928276956669471
-0.008454043372067677, 0.44284702735923065
0.004038482990444736, 0.4929005439419545
0.019944028814519066, 0.5460717225328361
0.03580581797882998, 0.5961115651593838
0.05002673240200517, 0.6492895807283534
0.06587393601306146, 0.6982856447001233
0.08339118547176239, 0.7462310930390271
0.09916546131654613, 0.7900082637369075
0.12331913750606216, 0.8306199135800135
0.14071970253872668, 0.870215132680694
0.17145146324603966, 0.8993178694088908
0.22746728052009557, 0.9293618301205444
0.3625878458701418, 0.9538655595881693
0.5818524679456217, 0.9717647682227236
0.8145066279087682, 0.9833466091039057
0.9545060608224575, 0.9953044837799314
1.006744219803588, 0.9961363161139793
