u, y
-0.18423758484926056, 0.054444221485689503
-0.20137557863563071, 0.06343714754257168
-0.2234401920828114, 0.07092394876869113
-0.29694092899993774, 0.1023865043834461
-0.38243161893427247, 0.17437834870595514
-0.2784079822309561, 0.2825840765932518
-0.10758159713813198, 0.4509125548074905
-0.058071837310840646, 0.4990070647172383
0.05339154863307072, 0.6162287833602036
0.18695276119041515, 0.730468236450066
0.3303672130693811, 0.8477199392014538
0.46875540578877817, 0.9499519101030298
0.5130617695698203, 0.9590024979068784
0.5745836245251557, 0.9695707428908831
0.6606389382857856, 0.9741560050096524
