Points_0,Points_1,Points_2,uy
0,0.5,0.5,0.00101294
0.008,0.5,0.5,0.00292841
0.016,0.5,0.5,0.00463717
0.024,0.5,0.5,0.00613559
0.032,0.5,0.5,0.00742375
0.04,0.5,0.5,0.00850862
0.048,0.5,0.5,0.00940245
0.056,0.5,0.5,0.0101224
0.064,0.5,0.5,0.0106888
0.072,0.5,0.5,0.0111224
0.08,0.5,0.5,0.0114419
0.088,0.5,0.5,0.011664
0.096,0.5,0.5,0.0118028
0.104,0.5,0.5,0.011869
0.112,0.5,0.5,0.0118722
0.12,0.5,0.5,0.0118207
0.128,0.5,0.5,0.011721
0.136,0.5,0.5,0.0115792
0.144,0.5,0.5,0.0114015
0.152,0.5,0.5,0.0111931
0.16,0.5,0.5,0.0109601
0.168,0.5,0.5,0.0107072
0.176,0.5,0.5,0.0104388
0.184,0.5,0.5,0.0101598
0.192,0.5,0.5,0.00987275
0.2,0.5,0.5,0.00958153
0.208,0.5,0.5,0.00928888
0.216,0.5,0.5,0.00899696
0.224,0.5,0.5,0.00870757
0.232,0.5,0.5,0.00842264
0.24,0.5,0.5,0.00814276
0.248,0.5,0.5,0.00786889
0.256,0.5,0.5,0.00760144
0.264,0.5,0.5,0.00734104
0.272,0.5,0.5,0.0070878
0.28,0.5,0.5,0.00684189
0.288,0.5,0.5,0.0066033
0.296,0.5,0.5,0.00637161
0.304,0.5,0.5,0.0061468
0.312,0.5,0.5,0.00592843
0.32,0.5,0.5,0.00571638
0.328,0.5,0.5,0.00551023
0.336,0.5,0.5,0.00511458
0.344,0.5,0.5,0.00492438
0.352,0.5,0.5,0.00473902
0.36,0.5,0.5,0.00455809
0.368,0.5,0.5,0.00438086
0.376,0.5,0.5,0.00420732
0.384,0.5,0.5,0.0040375
0.392,0.5,0.5,0.0038708
0.4,0.5,0.5,0.00370714
0.408,0.5,0.5,0.00354587
0.416,0.5,0.5,0.00338727
0.424,0.5,0.5,0.00323141
0.432,0.5,0.5,0.00307719
0.44,0.5,0.5,0.00292468
0.448,0.5,0.5,0.00277424
0.456,0.5,0.5,0.00262525
0.464,0.5,0.5,0.00247753
0.472,0.5,0.5,0.00233132
0.48,0.5,0.5,0.00218614
0.488,0.5,0.5,0.00204169
0.496,0.5,0.5,0.00189827
0.504,0.5,0.5,0.00175539
0.512,0.5,0.5,0.00161348
0.52,0.5,0.5,0.00147177
0.528,0.5,0.5,0.00133024
0.536,0.5,0.5,0.00118905
0.544,0.5,0.5,0.00104766
0.552,0.5,0.5,0.000906122
0.56,0.5,0.5,0.000764432
0.568,0.5,0.5,0.000622304
0.576,0.5,0.5,0.000479437
0.584,0.5,0.5,0.000335827
0.592,0.5,0.5,0.000191022
0.6,0.5,0.5,4.49794e-05
0.608,0.5,0.5,-0.00010227
0.616,0.5,0.5,-0.000251599
0.624,0.5,0.5,-0.000402767
0.632,0.5,0.5,-0.000555838
0.64,0.5,0.5,-0.000711802
0.648,0.5,0.5,-0.000871023
0.656,0.5,0.5,-0.00103367
0.664,0.5,0.5,-0.00120056
0.672,0.5,0.5,-0.00154925
0.68,0.5,0.5,-0.00173294
0.688,0.5,0.5,-0.00192448
0.696,0.5,0.5,-0.00212488
0.704,0.5,0.5,-0.00233643
0.712,0.5,0.5,-0.00256098
0.72,0.5,0.5,-0.00280094
0.728,0.5,0.5,-0.00305958
0.736,0.5,0.5,-0.00334073
0.744,0.5,0.5,-0.00364853
0.752,0.5,0.5,-0.00398852
0.76,0.5,0.5,-0.00436676
0.768,0.5,0.5,-0.00479017
0.776,0.5,0.5,-0.00526692
0.784,0.5,0.5,-0.00580581
0.792,0.5,0.5,-0.00641555
0.8,0.5,0.5,-0.00710587
0.808,0.5,0.5,-0.00788588
0.816,0.5,0.5,-0.00876274
0.824,0.5,0.5,-0.0097412
0.832,0.5,0.5,-0.0108219
0.84,0.5,0.5,-0.0119994
0.848,0.5,0.5,-0.0132603
0.856,0.5,0.5,-0.0145808
0.864,0.5,0.5,-0.0159254
0.872,0.5,0.5,-0.0172455
0.88,0.5,0.5,-0.018479
0.888,0.5,0.5,-0.0195541
0.896,0.5,0.5,-0.0203915
0.904,0.5,0.5,-0.020912
0.912,0.5,0.5,-0.021045
0.92,0.5,0.5,-0.0207377
0.928,0.5,0.5,-0.0199633
0.936,0.5,0.5,-0.0187263
0.944,0.5,0.5,-0.0170658
0.952,0.5,0.5,-0.0150499
0.96,0.5,0.5,-0.0127711
0.968,0.5,0.5,-0.0103343
0.976,0.5,0.5,-0.00784719
0.984,0.5,0.5,-0.00540992
0.992,0.5,0.5,-0.00310586
1,0.5,0.5,-0.00099584
