u, y
-0.010888800626071338, 0.0007373275945847801
-0.03505699196748879, 0.011878872724422118
-0.07134942547686007, 0.0341467965295823
-0.11773201196044436, 0.06383483386070965
-0.1621608022447779, 0.10092781826328989
-0.20461795344219635, 0.14295659146603235
-0.23306843782306774, 0.19114056615006758
-0.23682733949103274, 0.2483469456723325
-0.21215211275848533, 0.30592904188887515
-0.15739675123838548, 0.3675884857546152
-0.10599436569188592, 0.4302809584707583
-0.04793063541734688, 0.497080269164322
-0.011583186337677076, 0.5597916999486086
0.0264221643874758, 0.6245586561736214
0.05272555461939876, 0.6883115416163745
0.08073888825249265, 0.7469182408752563
0.1054512876676742, 0.7993562573599433
0.14022261500365618, 0.8486951872934215
0.2051484224924588, 0.8918233054123862
0.3453860849980449, 0.9297125534587783
0.5576123646929222, 0.9592806964975166
0.7732213585075071, 0.9837005469003673
0.938766183350421, 0.9917225357217585
0.9922502391244329, 0.9978280249354753
